specimen.ID,species,caste,investigator,wing,scale,LM,x,y,scale 1,body,notes
,,,,,,6,1376,597,,,
FJ190814-003,bimac,M,JL,hindwing,142.909,1,1471,432,,,
,,,,,,2,1658,515,,,
,,,,,,3,1645,539,,,
,,,,,,4,1506,550,,,
,,,,,,5,1285,552,,,
,,,,,,6,1256,606,,,
FJ190814-004,bimac,W,JL,hindwing,203.339,1,1471,365,,,
,,,,,,2,1660,459,,,
,,,,,,3,1646,489,,,
,,,,,,4,1517,496,,,
,,,,,,5,1268,501,,,
,,,,,,6,1233,555,,,
FJ190814-005,bimac,M,JL,hindwing,204.109,1,1741.667,336.667,,,
,,,,,,2,1999,467.333,,,
,,,,,,3,1976.333,495.333,,,
,,,,,,4,1775,504.667,,,
,,,,,,5,1497.667,503.333,,,
,,,,,,6,1436.333,576.667,,,
FJ190814-007,imp,W,JL,hindwing,202.081,1,1452.333,273.333,,,
,,,,,,2,1657.667,364,,,
,,,,,,3,1641.667,386.667,,,
,,,,,,4,1508.333,401.333,,,
,,,,,,5,1241.667,417.333,,,
,,,,,,6,1209.667,473.333,,,
FJ190814-009,bimac,W,JL,hindwing,140.901,1,1574,516,,,
,,,,,,2,1726,610.667,,,
,,,,,,3,1711.333,633.333,,,
,,,,,,4,1580.667,625.333,,,
,,,,,,5,1398,610.667,,,
,,,,,,6,1354,654.667,,,
FJ190822-001,imp,W,JL,hindwing,142.673,1,922.333,1072,,,
,,,,,,2,1079.667,1153.333,,,
,,,,,,3,1066.333,1169.333,,,
,,,,,,4,953,1174.667,,,
,,,,,,5,761,1176,,,
,,,,,,6,734.333,1217.333,,,
FJ190822-002,imp,W,JL,hindwing,141.824,1,1216.333,277.333,,,
,,,,,,2,1393.667,389.333,,,
,,,,,,3,1373.667,408,,,
,,,,,,4,1243,405.333,,,
,,,,,,5,1023,389.333,,,
,,,,,,6,976.333,436,,,
FJ190822-003,imp,W,JL,hindwing,141.788,1,1296.333,1504,,,
,,,,,,2,1484.333,1606.667,,,
